"cc_iso3c","group","sort_order","metric","label","value","incise_average","imputed","description","source"
"ITA","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.7,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"JPN","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.65,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"KOR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.8,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"LTU","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.59,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"LVA","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.46,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"MEX","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.6,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"NLD","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",1,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"NOR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.68,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"NZL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.73,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"POL","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.27,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"PRT","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.22,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"ROU","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.49,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"SVK","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.52,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"SVN","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.79,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"SWE","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.98,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"TUR","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.67,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"USA","0_indicators",2,"ind_crm","Crisis and risk management (InCiSE Indicator)",0.91,0.64,"","Composite InCiSE Indicator for Crisis and risk management","InCiSE 2019"
"AUS","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.71,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"AUT","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.97,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"BEL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.65,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"BGR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.3,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"CAN","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.67,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"CHE","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.34,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"CHL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.6,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"CZE","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.49,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"DEU","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.73,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"DNK","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.98,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"ESP","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.82,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"EST","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",1,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"FIN","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.83,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"FRA","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.59,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"GBR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.51,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"GRC","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.23,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"HRV","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"HUN","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.22,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"IRL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.52,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"ISL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.7,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"ISR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.71,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"ITA","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.66,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"JPN","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.69,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"KOR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.56,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"LTU","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.84,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"LVA","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.98,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"MEX","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.59,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"NLD","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.85,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"NOR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.88,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"NZL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.62,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"POL","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.47,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"PRT","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.9,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"ROU","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"SVK","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.46,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"SVN","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.43,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"SWE","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.75,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"TUR","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.47,0.62,"","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"USA","0_indicators",3,"ind_dig","Digital services (InCiSE Indicator)",0.69,0.62,"Imputed value","Composite InCiSE Indicator for Digital services","InCiSE 2019"
"AUS","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.72,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"AUT","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.59,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"BEL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.35,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"BGR","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.51,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"CAN","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.68,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"CHE","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.78,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"CHL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.48,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"CZE","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.51,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"DEU","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.82,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"DNK","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.67,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"ESP","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.72,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"EST","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.72,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"FIN","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.73,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"FRA","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.73,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"GBR","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.94,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"GRC","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.32,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"HRV","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.45,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"HUN","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.1,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"IRL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.61,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"ISL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.12,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"ISR","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"ITA","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.42,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"JPN","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.47,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"KOR","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",1,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"LTU","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.62,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"LVA","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.26,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"MEX","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.8,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"NLD","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.75,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"NOR","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.71,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"NZL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.88,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"POL","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.57,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
"PRT","0_indicators",4,"ind_ffm","Fiscal and financial management (InCiSE Indicator)",0.5,0.6,"","Composite InCiSE Indicator for Fiscal and financial management","InCiSE 2019"
